SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-Aug-1995,INE323C01030,2
INDIGO,InterGlobe Aviation Limited,EQ,10-Nov-2015,INE646L01027,10
INDIGOPNTS,Indigo Paints Limited,EQ,02-Feb-2021,INE09VQ01012,10
INDLMETER,IMP Powers Limited,EQ,10-Jan-1996,INE065B01013,10
INDNIPPON,India Nippon Electricals Limited,EQ,07-May-1997,INE092B01025,5
INDOCO,Indoco Remedies Limited,EQ,14-Jan-2005,INE873D01024,2
INDORAMA,Indo Rama Synthetics (India) Limited,BE,20-Jun-2003,INE156A01020,10
INDOSOLAR,Indosolar Limited,BZ,29-Sep-2010,INE866K01015,10
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-May-2018,INE896L01010,10
INDOTECH,Indo Tech Transformers Limited,BE,16-Mar-2006,INE332H01014,10
INDOTHAI,Indo Thai Securities Limited,EQ,02-Nov-2011,INE337M01013,10
INDOWIND,Indowind Energy Limited,BE,14-Sep-2007,INE227G01018,10
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-Apr-1997,INE681B01017,10
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-Jul-1997,INE915B01019,10
INDSWFTLTD,Ind-Swift Limited,EQ,18-Oct-2004,INE788B01028,2
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-Mar-2011,INE611L01021,2
INDUSINDBK,IndusInd Bank Limited,EQ,28-Jan-1998,INE095A01012,10
INDUSTOWER,Indus Towers Limited,EQ,28-Dec-2012,INE121J01017,10
INEOSSTYRO,INEOS Styrolution India Limited,EQ,29-Mar-1995,INE189B01011,10
INFIBEAM,Infibeam Avenues Limited,EQ,04-Apr-2016,INE483S01020,1
INFOBEAN,InfoBeans Technologies Limited,BE,15-Jul-2019,INE344S01016,10
INFY,Infosys Limited,EQ,08-Feb-1995,INE009A01021,5
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-Apr-1999,INE177A01018,10
INOXLEISUR,INOX Leisure Limited,EQ,23-Feb-2006,INE312H01016,10
INOXWIND,Inox Wind Limited,EQ,09-Apr-2015,INE066P01011,10
INSECTICID,Insecticides (India) Limited,EQ,30-May-2007,INE070I01018,10
INSPIRISYS,Inspirisys Solutions Limited,BE,30-Oct-2006,INE020G01017,10
INTELLECT,Intellect Design Arena Limited,EQ,18-Dec-2014,INE306R01017,5
INTENTECH,Intense Technologies Limited,EQ,23-Mar-2017,INE781A01025,2
INVENTURE,Inventure Growth & Securities Limited,EQ,04-Aug-2011,INE878H01024,1
IOB,Indian Overseas Bank,EQ,07-Dec-2000,INE565A01014,10
IOC,Indian Oil Corporation Limited,EQ,24-Jul-1996,INE242A01010,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-Nov-2010,INE485C01011,10
IPCALAB,IPCA Laboratories Limited,EQ,08-Feb-1995,INE571A01020,2
IPL,India Pesticides Limited,EQ,05-Jul-2021,INE0D6701023,1
IRB,IRB Infrastructure Developers Limited,EQ,25-Feb-2008,INE821I01014,10
IRCON,Ircon International Limited,EQ,28-Sep-2018,INE962Y01021,2
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-Oct-2019,INE335Y01012,10
IRFC,Indian Railway Finance Corporation Limited,EQ,29-Jan-2021,INE053F01010,10
IRISDOREME,Iris Clothings Limited,BE,22-Feb-2021,INE01GN01017,10
ISEC,ICICI Securities Limited,EQ,04-Apr-2018,INE763G01038,5
ISFT,Intrasoft Technologies Limited,EQ,12-Apr-2010,INE566K01011,10
ISGEC,Isgec Heavy Engineering Limited,EQ,05-May-2021,INE858B01029,1
ISMTLTD,ISMT Limited,BE,28-Aug-2007,INE732F01019,5
ITC,ITC Limited,EQ,23-Aug-1995,INE154A01025,1
ITDC,India Tourism Development Corporation Limited,EQ,30-Dec-2016,INE353K01014,10
ITDCEM,ITD Cementation India Limited,EQ,10-Feb-1999,INE686A01026,1
ITI,ITI Limited,EQ,15-Sep-2003,INE248A01017,10
IVC,IL&FS Investment Managers Limited,EQ,15-Sep-1999,INE050B01023,2
IVP,IVP Limited,EQ,13-Sep-1995,INE043C01018,10
IWEL,Inox Wind Energy Limited,BE,11-Jun-2021,INE0FLR01028,10
IZMO,IZMO Limited,EQ,05-Feb-2007,INE848A01014,10
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-Jul-1998,INE168A01041,1
JAGRAN,Jagran Prakashan Limited,EQ,22-Feb-2006,INE199G01027,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-Mar-2000,INE048B01027,5
JAIBALAJI,Jai Balaji Industries Limited,EQ,09-Dec-2003,INE091G01018,10
JAICORPLTD,Jai Corp Limited,EQ,26-Nov-1997,INE070D01027,1
JAINSTUDIO,Jain Studios Limited,BZ,19-Nov-1997,INE486B01011,10
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-Dec-2010,INE039C01032,1
JASH,Jash Engineering Limited,EQ,30-Oct-2019,INE039O01011,10
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-Apr-1996,INE785A01026,5
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-Jan-1996,INE571B01028,5
JAYNECOIND,Jayaswal Neco Industries Limited,BE,10-May-1995,INE854B01010,10
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-Feb-1995,INE364A01020,5
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-Apr-2003,INE572A01028,2
JBFIND,JBF Industries Limited,BE,25-Feb-2004,INE187A01017,10
JBMA,JBM Auto Limited,EQ,17-Dec-2004,INE927D01028,5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,03-Jan-2000,INE782A01015,10
JETAIRWAYS,Jet Airways (India) Limited,BZ,14-Mar-2005,INE802G01018,10
JHS,JHS Svendgaard Laboratories Limited,EQ,21-Oct-2006,INE544H01014,10
JINDALPHOT,Jindal Photo Limited,EQ,07-Apr-2005,INE796G01012,10
JINDALPOLY,Jindal Poly Films Limited,EQ,21-Jan-2002,INE197D01010,10
JINDALSAW,Jindal Saw Limited,EQ,29-Apr-2003,INE324A01024,2
JINDALSTEL,Jindal Steel & Power Limited,EQ,29-Dec-1999,INE749A01030,1
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-Dec-2006,INE742C01031,5
JINDWORLD,Jindal Worldwide Limited,EQ,25-Nov-2010,INE247D01039,1
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-Nov-2011,IN9175A01010,2
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-Aug-2001,INE175A01038,2
JITFINFRA,JITF Infralogistics Limited,BE,27-Feb-2017,INE863T01013,2
JIYAECO,Jiya Eco-Products Limited,BE,19-Aug-2019,INE023S01016,10
JKCEMENT,JK Cement Limited,EQ,14-Mar-2006,INE823G01014,10
JKIL,J.Kumar Infraprojects Limited,EQ,12-Feb-2008,INE576I01022,5
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-Jun-2006,INE786A01032,5
JKPAPER,JK Paper Limited,EQ,16-Jun-2005,INE789E01012,10
JKTYRE,JK Tyre & Industries Limited,EQ,19-Mar-2007,INE573A01042,2
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,16-Mar-2015,INE412C01023,2
JMCPROJECT,JMC Projects (India)  Limited,EQ,26-Nov-2007,INE890A01024,2
JMFINANCIL,JM Financial Limited,EQ,10-Oct-2006,INE780C01023,1
JMTAUTOLTD,JMT Auto Limited,EQ,02-Apr-2007,INE988E01036,1
JOCIL,Jocil Limited,EQ,08-Oct-2008,INE839G01010,10
JPASSOCIAT,Jaiprakash Associates Limited,EQ,14-Jun-2004,INE455F01025,2
JPINFRATEC,Jaypee Infratech Limited,EQ,21-May-2010,INE099J01015,10
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-Apr-2005,INE351F01018,10
JSL,Jindal Stainless Limited,EQ,17-Nov-2003,INE220G01021,2
JSLHISAR,Jindal Stainless (Hisar) Limited,EQ,28-Jan-2016,INE455T01018,2
JSWENERGY,JSW Energy Limited,BE,04-Jan-2010,INE121E01018,10
JSWHL,JSW Holdings Limited,EQ,21-Jun-2005,INE824G01012,10
JSWISPL,JSW Ispat Special Products Limited,BE,12-Sep-2018,INE743C01021,10
JSWSTEEL,JSW Steel Limited,EQ,23-Mar-2005,INE019A01038,1
JTEKTINDIA,Jtekt India Limited,EQ,12-Jan-2004,INE643A01035,1
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-Feb-2010,INE797F01012,10
JUBLINDS,Jubilant Industries Limited,EQ,14-Feb-2011,INE645L01011,10
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-Mar-2021,INE0BY001018,1
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-Jun-2003,INE700A01033,1
JUMPNET,Jump Networks Limited,EQ,19-Aug-2019,INE974C01022,5
JUSTDIAL,Just Dial Limited,EQ,05-Jun-2013,INE599M01018,10
JYOTHYLAB,Jyothy Labs Limited,EQ,19-Dec-2007,INE668F01031,1
JYOTISTRUC,Jyoti Structures Limited,BZ,19-Jul-1995,INE197A01024,2
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-Sep-1995,INE900B01029,5
KAJARIACER,Kajaria Ceramics Limited,EQ,01-Jun-2004,INE217B01036,1
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,13-Dec-1995,INE437B01014,10
KALPATPOWR,Kalpataru Power Transmission Limited,EQ,15-Dec-2000,INE220B01022,2
KALYANI,Kalyani Commercials Limited,BE,13-Feb-2017,INE610E01010,10
KALYANIFRG,Kalyani Forge Limited,BE,20-Dec-2007,INE314G01014,10
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-Mar-2021,INE303R01014,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-May-1996,INE967C01018,10
KAMDHENU,Kamdhenu Limited,EQ,09-May-2006,INE390H01012,10
KANANIIND,Kanani Industries Limited,BE,14-Dec-2011,INE879E01037,1
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ,08-Feb-1995,INE138C01024,5
KANPRPLA,Kanpur Plastipack Limited,EQ,01-Jan-2021,INE694E01014,10
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-Sep-2003,INE531A01024,1
KAPSTON,Kapston Facilities Management Limited,BE,27-May-2020,INE542Z01010,10
KARDA,Karda Constructions Limited,BE,02-Apr-2018,INE278R01026,2
KARMAENG,Karma Energy Limited,EQ,28-Jun-2011,INE725L01011,10
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-Jul-2000,INE036D01028,2
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,14-Dec-2007,INE234I01010,10
KAVVERITEL,Kavveri Telecom Products Limited,EQ,29-Jan-2008,INE641C01019,10
KAYA,Kaya Limited,EQ,14-Aug-2015,INE587G01015,10
KCP,KCP Limited,EQ,09-Apr-1997,INE805C01028,1
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,11-Jun-1997,INE790B01024,1
KDDL,KDDL Limited,EQ,23-Mar-2016,INE291D01011,10
KEC,KEC International Limited,EQ,10-Mar-2006,INE389H01022,2
KECL,Kirloskar Electric Company Limited,EQ,09-Mar-2010,INE134B01017,10
KEERTI,Keerti Knowledge and Skills Limited,EQ,13-Nov-2020,INE586X01012,10
KEI,KEI Industries Limited,EQ,23-Mar-2006,INE878B01027,2
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-Mar-2016,INE164B01022,5
KENNAMET,Kennametal India Limited,EQ,03-Nov-1994,INE717A01029,10
KERNEX,Kernex Microsystems (India) Limited,BE,20-Dec-2005,INE202H01019,10
KESORAMIND,Kesoram Industries Limited,EQ,06-Sep-1995,INE087A01019,10
KEYFINSERV,Keynote Financial Services Limited,EQ,26-Jun-1996,INE681C01015,10
KHADIM,Khadim India Limited,EQ,14-Nov-2017,INE834I01025,10
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-Oct-2020,INE745B01028,1
KHANDSE,Khandwala Securities Limited,EQ,07-Feb-2001,INE060B01014,10
KICL,Kalyani Investment Company Limited,EQ,14-Jan-2011,INE029L01018,10
KILITCH,Kilitch Drugs (India) Limited,EQ,29-Sep-2010,INE729D01010,10
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-Jun-2021,INE967H01017,10
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-Nov-2016,INE473D01015,10
KIOCL,KIOCL Limited,EQ,29-Nov-2016,INE880L01014,10
KIRIINDUS,Kiri Industries Limited,EQ,22-Apr-2008,INE415I01015,10
KIRLFER,Kirloskar Ferrous Industries Ltd,EQ,13-Nov-2019,INE884B01025,5
KIRLOSBROS,Kirloskar Brothers Limited,BE,20-Apr-2010,INE732A01036,2
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-Dec-2010,INE146L01010,2
KIRLOSIND,Kirloskar Industries Limited,EQ,24-Jun-2010,INE250A01039,10
KITEX,Kitex Garments Limited,EQ,25-Sep-2012,INE602G01020,1
KKCL,Kewal Kiran Clothing Limited,EQ,13-Apr-2006,INE401H01017,10
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-May-2007,INE157H01023,2
KNRCON,KNR Constructions Limited,EQ,18-Feb-2008,INE634I01029,2
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,28-Jul-2008,INE760A01029,1
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-Dec-2007,INE094I01018,10
KOPRAN,Kopran Limited,BE,09-Jun-1999,INE082A01010,10
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-Dec-1995,INE237A01028,5
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-Dec-2004,INE419A01022,10
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-Nov-1996,INE720A01015,10
KOTHARIPRO,Kothari Products Limited,BE,03-Jun-1998,INE823A01017,10
KPIGLOBAL,K.P.I. Global Infrastructure Limited,EQ,27-Jul-2021,INE542W01017,10
KPITTECH,KPIT Technologies Limited,EQ,22-Apr-2019,INE04I401011,10
KPRMILL,K.P.R. Mill Limited,EQ,28-Aug-2007,INE930H01023,5
KRBL,KRBL Limited,EQ,21-Jan-2002,INE001B01026,1
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,03-Jan-1996,INE268B01013,10
KRIDHANINF,Kridhan Infra Limited,EQ,11-Dec-2015,INE524L01026,2
KRISHANA,Krishana Phoschem Limited,EQ,22-Aug-2019,INE506W01012,10
KSB,Ksb Limited,EQ,08-Feb-1995,INE999A01015,10
KSCL,Kaveri Seed Company Limited,EQ,04-Oct-2007,INE455I01029,2
KSL,Kalyani Steels Limited,EQ,19-May-2010,INE907A01026,5
KTKBANK,The Karnataka Bank Limited,EQ,10-May-2000,INE614B01018,10
KUANTUM,Kuantum Papers Limited,EQ,23-Oct-2019,INE529I01021,1
L&TFH,L&T Finance Holdings Limited,EQ,12-Aug-2011,INE498L01015,10
LAKPRE,Lakshmi Precision Screws Limited,BZ,26-Sep-2006,INE651C01018,10
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-Dec-2015,INE600L01024,10
LAMBODHARA,Lambodhara Textiles Limited,BE,04-Feb-2015,INE112F01022,5
LAOPALA,La Opala RG Limited,EQ,16-Mar-2007,INE059D01020,2
LASA,Lasa Supergenerics Limited,EQ,21-Sep-2017,INE670X01014,10
LAURUSLABS,Laurus Labs Limited,EQ,19-Dec-2016,INE947Q01028,2
LAXMIMACH,Lakshmi Machine Works Limited,EQ,29-Mar-1995,INE269B01029,10
LCCINFOTEC,LCC Infotech Limited,EQ,02-Mar-2000,INE938A01021,2
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-Apr-2018,INE970X01018,10
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-Apr-2015,INE850E01012,10
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-Mar-2010,INE337A01034,10
LGBFORGE,LGB Forge Limited,BE,01-Aug-2008,INE201J01017,1
LIBAS,Libas Consumer Products Limited,EQ,23-Jul-2019,INE908V01012,10
LIBERTSHOE,Liberty Shoes Limited,EQ,27-Sep-1995,INE557B01019,10
LICHSGFIN,LIC Housing Finance Limited,EQ,29-Jul-1998,INE115A01026,2
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-Oct-2020,INE060901019,10
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-Dec-2015,INE405C01035,10
LINCPEN,Linc Pen & Plastics Limited,EQ,09-Mar-2015,INE802B01019,10
LINDEINDIA,Linde India Limited,EQ,16-Jun-1999,INE473A01011,10
LODHA,Macrotech Developers Limited,EQ,19-Apr-2021,INE670K01029,10
LOKESHMACH,Lokesh Machines Limited,EQ,05-May-2006,INE397H01017,10
LOTUSEYE,Lotus Eye Hospital and Institute Limited,BE,11-Jul-2008,INE947I01017,10
LOVABLE,Lovable Lingerie Limited,EQ,24-Mar-2011,INE597L01014,10
LPDC,Landmark Property Development Company Limited,BE,12-Aug-2008,INE197J01017,1
LSIL,Lloyds Steels Industries Limited,BE,18-Jul-2016,INE093R01011,1
LT,Larsen & Toubro Limited,EQ,23-Jun-2004,INE018A01030,2
LTI,Larsen & Toubro Infotech Limited,EQ,21-Jul-2016,INE214T01019,1
LTTS,L&T Technology Services Limited,EQ,23-Sep-2016,INE010V01017,2
LUMAXIND,Lumax Industries Limited,EQ,06-Sep-1995,INE162B01018,10
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-Jan-2007,INE872H01027,2
LUPIN,Lupin Limited,EQ,10-Sep-2001,INE326A01037,2
LUXIND,Lux Industries Limited,EQ,30-Nov-2015,INE150G01020,2
LXCHEM,Laxmi Organic Industries Limited,EQ,25-Mar-2021,INE576O01020,2
LYKALABS,Lyka Labs Limited,EQ,08-Feb-1995,INE933A01014,10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,05-Nov-2013,INE142K01011,10
M&M,Mahindra & Mahindra Limited,EQ,03-Jan-1996,INE101A01026,5
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-Mar-2006,INE774D01024,2
MAANALU,Maan Aluminium Limited,BE,22-Oct-2007,INE215I01019,10
MACPOWER,Macpower CNC Machines Limited,EQ,19-Aug-2020,INE155Z01011,10
MADHAV,Madhav Marbles and Granites Limited,EQ,20-Dec-2007,INE925C01016,10
MADHUCON,Madhucon Projects Limited,EQ,05-Oct-2006,INE378D01032,1
MADRASFERT,Madras Fertilizers Limited,EQ,25-Jul-1997,INE414A01015,10
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-Jul-2017,INE347W01011,10
MAGMA,Magma Fincorp Limited,BE,27-Apr-2004,INE511C01022,2
MAGNUM,Magnum Ventures Limited,BE,20-Sep-2007,INE387I01016,10
MAHABANK,Bank of Maharashtra,EQ,12-Apr-2004,INE457A01014,10
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE,21-Jan-1998,INE843B01013,10
MAHASTEEL,Mahamaya Steel Industries Limited,EQ,01-Jul-2016,INE451L01014,10
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-Feb-2020,INE215D01010,10
MAHESHWARI,Maheshwari Logistics Limited,EQ,15-Apr-2019,INE263W01010,10
MAHINDCIE,Mahindra CIE Automotive Limited,EQ,30-Aug-2007,INE536H01010,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-May-2000,INE813A01018,10
MAHLOG,Mahindra Logistics Limited,EQ,10-Nov-2017,INE766P01016,10
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-Feb-1995,INE288A01013,10
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-Aug-2004,INE271B01025,5
MAITHANALL,Maithan Alloys Limited,EQ,05-Jul-2011,INE683C01011,10
MAJESCO,Majesco Limited,EQ,19-Aug-2015,INE898S01029,5
MALUPAPER,Malu Paper Mills Limited,EQ,05-Apr-2006,INE383H01017,10
MANAKALUCO,Manaksia Aluminium Company Limited,EQ,30-Mar-2015,INE859Q01017,1
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,30-Mar-2015,INE830Q01018,1
MANAKSIA,Manaksia Limited,EQ,08-Jan-2008,INE015D01022,2
MANAKSTEEL,Manaksia Steels Limited,EQ,30-Mar-2015,INE824Q01011,1
MANALIPETC,Manali Petrochemicals Limited,BE,06-Dec-2006,INE201A01024,5
MANAPPURAM,Manappuram Finance Limited,EQ,01-Dec-2014,INE522D01027,2
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-May-2005,INE584F01014,10
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,22-Oct-2007,INE558B01017,10
MANGLMCEM,Mangalam Cement Limited,EQ,03-Jan-1996,INE347A01017,10
MANGTIMBER,Mangalam Timber Products Limited,EQ,27-Jul-1995,INE805B01012,10
MANINDS,Man Industries (India) Limited,EQ,24-Jun-2005,INE993A01026,5
MANINFRA,Man Infraconstruction Limited,EQ,11-Mar-2010,INE949H01023,2
MANUGRAPH,Manugraph India Limited,EQ,14-Sep-2006,INE867A01022,2
MARALOVER,Maral Overseas Limited,EQ,08-Feb-1995,INE882A01013,10
MARATHON,Marathon Nextgen Realty Limited,EQ,29-Sep-2016,INE182D01020,5
MARICO,Marico Limited,EQ,01-May-1996,INE196A01026,1
MARINE,Marine Electricals (India) Limited,EQ,02-Dec-2020,INE01JE01028,2
MARKSANS,Marksans Pharma Limited,EQ,21-Jan-2002,INE750C01026,1
MARUTI,Maruti Suzuki India Limited,EQ,09-Jul-2003,INE585B01010,5
MASFIN,MAS Financial Services Limited,EQ,18-Oct-2017,INE348L01012,10
MASKINVEST,Mask Investments Limited,BE,14-Oct-2016,INE885F01015,10
MASTEK,Mastek Limited,EQ,10-May-1995,INE759A01021,5
MATRIMONY,Matrimony.Com Limited,EQ,21-Sep-2017,INE866R01028,5
MAWANASUG,Mawana Sugars Limited,BE,20-Mar-2009,INE636A01039,10
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-Aug-2020,INE027H01010,10
MAXIND,Max India Limited,EQ,28-Aug-2020,INE0CG601016,10
MAXVIL,Max Ventures and Industries Limited,EQ,22-Jun-2016,INE154U01015,10
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-Sep-2012,INE040D01038,5
MAZDA,Mazda Limited,EQ,01-Nov-2016,INE885E01034,10
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-Oct-2020,INE249Z01012,10
MBAPL,Madhya Bharat Agro Products Limited,EQ,22-Aug-2019,INE900L01010,10
MBECL,Mcnally Bharat Engineering Company Limited,BE,06-Oct-2006,INE748A01016,10
MBLINFRA,MBL Infrastructures Limited,EQ,11-Jan-2010,INE912H01013,10
MCDHOLDING,McDowell Holdings Limited,EQ,30-May-2007,INE836H01014,10
MCDOWELL-N,United Spirits Limited,EQ,27-Sep-2001,INE854D01024,2
MCL,Madhav Copper Limited,EQ,19-Aug-2020,INE813V01022,5
MCLEODRUSS,Mcleod Russel India Limited,EQ,29-Jul-2005,INE942G01012,5
MCX,Multi Commodity Exchange of India Limited,EQ,09-Mar-2012,INE745G01035,10
MEGA-RE,Megasoft Limited - RE,BE,22-Jul-2021,INE933B20012,10
MEGASOFT,Megasoft Limited,BE,19-Jul-2007,INE933B01012,10
MELSTAR,Melstar Information Technologies Limited,BZ,07-Mar-2000,INE817A01019,10
MENONBE,Menon Bearings Limited,EQ,09-Mar-2015,INE071D01033,1
MEP,MEP Infrastructure Developers Limited,EQ,06-May-2015,INE776I01010,10
MERCATOR,Mercator Limited,BE,20-Jun-2005,INE934B01028,1
METALFORGE,Metalyst Forgings Limited,BZ,23-Aug-1995,INE425A01011,10
METROPOLIS,Metropolis Healthcare Limited,EQ,15-Apr-2019,INE112L01020,2
MFSL,Max Financial Services Limited,EQ,17-May-2000,INE180A01020,2
MGEL,Mangalam Global Enterprise Limited,EQ,23-Dec-2020,INE0APB01016,10
MGL,Mahanagar Gas Limited,EQ,01-Jul-2016,INE002S01010,10
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-Jul-2009,INE998I01010,10
MIDHANI,Mishra Dhatu Nigam Limited,EQ,04-Apr-2018,INE099Z01011,10
MINDACORP,Minda Corporation Limited,EQ,16-Oct-2014,INE842C01021,2
MINDAIND,Minda Industries Limited,EQ,02-Feb-2007,INE405E01023,2
MINDTECK,Mindteck (India) Limited,EQ,02-Aug-2016,INE110B01017,10
MINDTREE,MindTree Limited,EQ,07-Mar-2007,INE018I01017,10
MIRCELECTR,MIRC Electronics Limited,BE,24-May-2004,INE831A01028,1
MIRZAINT,Mirza International Limited,EQ,28-Apr-1999,INE771A01026,2
MITTAL,Mittal Life Style Limited,EQ,29-Apr-2020,INE997Y01019,10
MMFL,MM Forgings Limited,EQ,20-Dec-2006,INE227C01017,10
MMP,MMP Industries Limited,EQ,09-Jan-2020,INE511Y01018,10
MMTC,MMTC Limited,EQ,09-Apr-2012,INE123F01029,1
MODIRUBBER,Modi Rubber Limited,BE,07-Feb-1996,INE832A01018,10
MODISNME,Modison Metals Limited,EQ,03-May-2021,INE737D01021,1
MOHITIND,Mohit Industries Limited,BE,14-Mar-2013,INE954E01012,10
MOHOTAIND,Mohota Industries Limited,BE,10-Apr-1996,INE313D01013,10
MOIL,MOIL Limited,EQ,15-Dec-2010,INE490G01020,10
MOKSH,Moksh Ornaments Limited,EQ,21-May-2021,INE514Y01020,2
MOLDTECH,Mold-Tek Technologies Limited,BE,07-Jul-2016,INE835B01035,2
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,23-Feb-2015,INE893J01029,5
MONTECARLO,Monte Carlo Fashions Limited,EQ,19-Dec-2014,INE950M01013,10
MORARJEE,Morarjee Textiles Limited,EQ,14-Sep-2012,INE161G01027,7
MOREPENLAB,Morepen Laboratories Limited,EQ,24-Nov-1999,INE083A01026,2
MOTHERSUMI,Motherson Sumi Systems Limited,EQ,14-Aug-1996,INE775A01035,1
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-Sep-2007,INE338I01027,1
MOTOGENFIN,The Motor & General Finance Limited,EQ,08-Feb-1995,INE861B01023,5
MPHASIS,MphasiS Limited,EQ,04-Jun-2004,INE356A01018,10
MPSLTD,MPS Limited,EQ,21-Jan-2002,INE943D01017,10
MRF,MRF Limited,EQ,18-Sep-1996,INE883A01011,10
MRO-TEK,MRO-TEK Realty Limited,EQ,01-Nov-2000,INE398B01018,5
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,07-Jan-2005,INE103A01014,10
MSPL,MSP Steel & Power Limited,EQ,18-Jul-2005,INE752G01015,10
MSTCLTD,Mstc Limited,EQ,29-Mar-2019,INE255X01014,10
MTARTECH,Mtar Technologies Limited,EQ,15-Mar-2021,INE864I01014,10
MTEDUCARE,MT Educare Limited,EQ,12-Apr-2012,INE472M01018,10
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-Feb-1999,INE153A01019,10
MUKANDLTD,Mukand Limited,EQ,23-Feb-2004,INE304A01026,10
MUKTAARTS,Mukta Arts Limited,EQ,12-Sep-2000,INE374B01019,5
MUNJALAU,Munjal Auto Industries Limited,EQ,19-Jul-2006,INE672B01032,2
MUNJALSHOW,Munjal Showa Limited,EQ,12-May-2003,INE577A01027,2
MURUDCERA,Murudeshwar Ceramics Limited,EQ,28-May-2004,INE692B01014,10
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-Aug-2015,INE296G01013,10
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-May-2011,INE414G01012,10
NACLIND,NACL Industries Limited,EQ,07-Apr-2017,INE295D01020,1
